STRONG,OBJ,UID,Condition_GP,V,WEAK,STRUG_START,two_level_prosody,IID,PP1,XY,Condition_Q,QI,SID,REC_CLEAN,REC,Reading,STRUG,prosody,FIRST
PP1,NO,13-10-1,FALSE,YES,V,,PP1,10,YES,X,TRUE,YES,13,10EQN,13.10EQN_X,1,NO,PP1 > V,16X
PP1,NO,13-10-2,FALSE,NO,NONE,,PP1,10,YES,Y,TRUE,YES,13,10EQN,13.10EQN_Y,2,NO,PP1 ,16X
PP1,NO,13-11-1,TRUE,NO,NONE,,PP1,11,YES,X,FALSE,NO,13,11EDY,13.11EDY_X,1,NO,PP1 ,16X
PP1,YES,13-11-2,TRUE,NO,OBJ,,PP1 > OBJ,11,YES,Y,FALSE,NO,13,11EDY,13.11EDY_Y,2,NO,PP1 > OBJ,16X
PP1,NO,13-12-1,FALSE,NO,NONE,,PP1,12,YES,X,FALSE,NO,13,12EDN,13.12EDN_X,1,NO,PP1 ,16X
PP1,YES,13-12-2,FALSE,NO,OBJ,,PP1 > OBJ,12,YES,Y,FALSE,NO,13,12EDN,13.12EDN_Y,2,NO,PP1 > OBJ,16X
NONE,YES,13-13-1,TRUE,NO,NONE,,OBJ PP1,13,YES,X,FALSE,NO,13,13EDY,13.13EDY_X,1,NO,OBJ PP1,16X
PP1,YES,13-13-2,TRUE,NO,OBJ,,PP1 > OBJ,13,YES,Y,FALSE,NO,13,13EDY,13.13EDY_Y,2,NO,PP1 > OBJ,16X
PP1,NO,13-14-1,TRUE,NO,NONE,,PP1,14,YES,X,TRUE,YES,13,14EQY,13.14EQY_X,1,NO,PP1 ,16X
OBJ,YES,13-14-2,TRUE,NO,PP1,,OBJ > PP1,14,YES,Y,TRUE,YES,13,14EQY,13.14EQY_Y,2,NO,OBJ > PP1,16X
PP1,YES,13-15-1,FALSE,NO,OBJ,,PP1 > OBJ,15,YES,X,FALSE,NO,13,15EDN,13.15EDN_X,1,NO,PP1 > OBJ,16X
OBJ,YES,13-15-2,FALSE,NO,PP1,,OBJ > PP1,15,YES,Y,FALSE,NO,13,15EDN,13.15EDN_Y,2,NO,OBJ > PP1,16X
PP1,NO,13-16-1,TRUE,NO,NONE,,PP1,16,YES,X,TRUE,YES,13,16EQY,13.16EQY_X,1,NO,PP1 ,16X
OBJ,YES,13-16-2,TRUE,NO,PP1,,OBJ > PP1,16,YES,Y,TRUE,YES,13,16EQY,13.16EQY_Y,2,NO,OBJ > PP1,16X
PP1,NO,13-2-1,FALSE,NO,NONE,START,PP1,2,YES,X,TRUE,YES,13,2EQN,13.2EQN_X,1,NO,PP1 ,16X
OBJ,YES,13-2-2,FALSE,NO,PP1,,OBJ > PP1,2,YES,Y,TRUE,YES,13,2EQN,13.2EQN_Y,2,NO,OBJ > PP1,16X
OBJ,YES,13-3-1,FALSE,NO,NONE,,OBJ,3,NO,X,TRUE,NO,13,3EQN,13.3EQN_X,1,NO,OBJ ,16X
OBJ,YES,13-3-2,FALSE,NO,NONE,PP2,OBJ,3,NO,Y,TRUE,YES,13,3EQN,13.3EQN_Y,2,YES,OBJ ,16X
PP1,YES,13-4-1,TRUE,NO,OBJ,PP2,PP1 > OBJ,4,YES,X,TRUE,NO,13,4EQY,13.4EQY_X,1,YES,PP1 > OBJ,16X
PP1,YES,13-4-2,TRUE,NO,OBJ,,PP1 > OBJ,4,YES,Y,TRUE,YES,13,4EQY,13.4EQY_Y,2,NO,PP1 > OBJ,16X
OBJ,YES,13-5-1,FALSE,NO,NONE,,OBJ,5,NO,X,TRUE,YES,13,5EQN,13.5EQN_X,1,NO,OBJ ,16X
OBJ,YES,13-5-2,FALSE,NO,NONE,,OBJ,5,NO,Y,TRUE,YES,13,5EQN,13.5EQN_Y,2,NO,OBJ ,16X
PP1,NO,13-6-1,TRUE,NO,NONE,,PP1,6,YES,X,TRUE,YES,13,6EQY,13.6EQY_X,1,NO,PP1 ,16X
PP1,YES,13-6-2,TRUE,YES,OBJ,,PP1 > OBJ,6,YES,Y,TRUE,YES,13,6EQY,13.6EQY_Y,2,NO,PP1 > V OBJ,16X
PP1,YES,13-7-1,TRUE,NO,OBJ,,PP1 > OBJ,7,YES,X,FALSE,NO,13,7EDY,13.7EDY_X,1,NO,PP1 > OBJ,16X
PP1,YES,13-7-2,TRUE,NO,OBJ,,PP1 > OBJ,7,YES,Y,FALSE,NO,13,7EDY,13.7EDY_Y,2,NO,PP1 > OBJ,16X
OBJ,YES,13-8-1,TRUE,NO,PP1,PP1,OBJ > PP1,8,YES,X,FALSE,NO,13,8EDY,13.8EDY_X,1,YES,OBJ > PP1,16X
OBJ,YES,13-8-2,TRUE,NO,PP1,,OBJ > PP1,8,YES,Y,FALSE,NO,13,8EDY,13.8EDY_Y,2,NO,OBJ > PP1,16X
