UID,SID,IID,Reading,Condition_GP,Condition_Q,REC_CLEAN,REC,XY,FIRST,V,OBJ,PP1,STRONG,WEAK,STRUG,STRUG_START,QI
14-4-1,14,4,1,FALSE,FALSE,4EDN,4EDN,X,16Y,NO,YES,NO,OBJ,NONE,NO,,NO
14-4-2,14,4,2,FALSE,FALSE,4EDN,4EDN,Y,16Y,YES,YES,NO,OBJ,V,YES,START,NO
14-5-1,14,5,1,TRUE,FALSE,5EDY,5EDY,X,16Y,NO,NO,YES,PP1,NONE,NO,,NO
14-5-2,14,5,2,TRUE,FALSE,5EDY,5EDY,Y,16Y,NO,YES,YES,PP1,OBJ,NO,,NO
14-6-1,14,6,1,FALSE,FALSE,6EDN,6EDN,X,16Y,NO,YES,YES,OBJ,PP1,YES,PP2,NO
14-6-2,14,6,2,FALSE,FALSE,6EDN,6EDN,Y,16Y,NO,YES,YES,OBJ,PP1,NO,,NO
14-7-1,14,7,1,FALSE,TRUE,7EQN,7EQN,X,16Y,NO,YES,YES,OBJ,PP1,YES,PP2,YES
14-7-2,14,7,2,FALSE,TRUE,7EQN,7EQN,Y,16Y,NO,YES,YES,OBJ,PP1,NO,,YES
14-8-1,14,8,1,FALSE,TRUE,8EQN,8EQN,X,16Y,NO,YES,YES,OBJ,PP1,YES,PP1,YES
14-8-2,14,8,2,FALSE,TRUE,8EQN,8EQN,Y,16Y,NO,YES,YES,OBJ,PP1,NO,,YES
14-9-1,14,9,1,TRUE,TRUE,9EQY,9EQY,X,16Y,NO,YES,YES,PP1,OBJ,YES,PP1,YES
14-9-2,14,9,2,TRUE,TRUE,9EQY,9EQY,Y,16Y,NO,YES,YES,PP1,OBJ,NO,,YES
15-1-1,15,1,1,TRUE,FALSE,1EDY,15.1EDY_X,X,1X,NO,NO,YES,PP1,NONE,NO,,NO
15-1-2,15,1,2,TRUE,FALSE,1EDY,15.1EDY_Y,Y,1X,NO,NO,YES,PP1,NONE,NO,,NO
15-10-1,15,10,1,TRUE,TRUE,10EQY,15.10EQY_X,X,1X,NO,NO,YES,PP1,NONE,NO,,YES
15-10-2,15,10,2,TRUE,TRUE,10EQY,15.10EQY_Y,Y,1X,NO,YES,YES,OBJ,PP1,NO,,YES
15-11-1,15,11,1,FALSE,FALSE,11EDN,15.11EDN_X,X,1X,NO,YES,YES,PP1,OBJ,NO,,NO
15-11-2,15,11,2,FALSE,FALSE,11EDN,15.11EDN_Y,Y,1X,NO,YES,NO,OBJ,NONE,NO,,NO
15-12-1,15,12,1,TRUE,FALSE,12EDY,15.12EDY_X,X,1X,NO,NO,YES,PP1,NONE,NO,,NO
15-12-2,15,12,2,TRUE,FALSE,12EDY,15.12EDY_Y,Y,1X,NO,NO,YES,PP1,NONE,NO,,NO
15-13-1,15,13,1,FALSE,FALSE,13EDN,15.13EDN_X,X,1X,NO,NO,YES,PP1,NONE,NO,,NO
15-13-2,15,13,2,FALSE,FALSE,13EDN,15.13EDN_Y,Y,1X,NO,NO,YES,PP1,NONE,NO,,NO
